round,n-rock,n-paper,n-scissors,n-opp,n-mix
41300,51.0,38.0,44.0,89.0,278.0
41400,48.0,43.0,43.0,97.0,269.0
41500,55.0,47.0,40.0,98.0,260.0
41600,61.0,46.0,37.0,91.0,265.0
41700,53.0,49.0,37.0,98.0,263.0
41800,48.0,38.0,38.0,108.0,268.0
41900,54.0,41.0,41.0,97.0,267.0
42000,49.0,52.0,30.0,99.0,270.0
42100,50.0,43.0,35.0,109.0,263.0
42200,43.0,44.0,37.0,106.0,270.0
42300,52.0,44.0,36.0,101.0,267.0
42400,46.0,47.0,38.0,106.0,263.0
42500,42.0,48.0,34.0,103.0,273.0
42600,43.0,43.0,39.0,110.0,265.0
42700,37.0,42.0,34.0,113.0,274.0
42800,46.0,36.0,38.0,108.0,272.0
42900,41.0,45.0,43.0,114.0,257.0
43000,36.0,38.0,33.0,119.0,274.0
43100,38.0,40.0,41.0,113.0,268.0
43200,32.0,50.0,47.0,118.0,253.0
43300,35.0,35.0,36.0,117.0,277.0
43400,45.0,43.0,30.0,114.0,268.0
43500,33.0,45.0,40.0,115.0,267.0
43600,27.0,46.0,37.0,111.0,279.0
43700,34.0,41.0,38.0,109.0,278.0
43800,37.0,38.0,37.0,112.0,276.0
43900,31.0,40.0,43.0,114.0,272.0
44000,30.0,35.0,39.0,119.0,277.0
44100,37.0,46.0,38.0,107.0,272.0
44200,31.0,42.0,42.0,111.0,274.0
44300,35.0,43.0,39.0,110.0,273.0
44400,29.0,38.0,41.0,114.0,278.0
44500,29.0,37.0,45.0,117.0,272.0
44600,34.0,31.0,39.0,115.0,281.0
44700,41.0,35.0,35.0,114.0,275.0
44800,38.0,37.0,33.0,114.0,278.0
44900,36.0,33.0,37.0,116.0,278.0
45000,34.0,34.0,38.0,113.0,281.0
45100,39.0,34.0,39.0,104.0,284.0
45200,43.0,33.0,42.0,106.0,276.0
45300,36.0,39.0,43.0,110.0,272.0
45400,37.0,33.0,39.0,121.0,270.0
45500,32.0,36.0,42.0,111.0,279.0
45600,39.0,30.0,37.0,112.0,282.0
45700,37.0,38.0,38.0,114.0,273.0
45800,34.0,33.0,31.0,115.0,287.0
45900,33.0,31.0,37.0,111.0,288.0
46000,32.0,30.0,35.0,118.0,285.0
46100,33.0,30.0,33.0,119.0,285.0
46200,34.0,27.0,39.0,114.0,286.0
46300,31.0,32.0,32.0,109.0,296.0
46400,42.0,41.0,33.0,116.0,268.0
46500,32.0,22.0,34.0,114.0,298.0
46600,36.0,32.0,26.0,107.0,299.0
46700,30.0,32.0,33.0,108.0,297.0
46800,30.0,32.0,29.0,109.0,300.0
46900,37.0,29.0,31.0,113.0,290.0
47000,33.0,30.0,34.0,110.0,293.0
47100,38.0,35.0,28.0,108.0,291.0
47200,32.0,38.0,31.0,108.0,291.0
47300,35.0,33.0,31.0,112.0,289.0
47400,40.0,34.0,33.0,109.0,284.0
47500,37.0,40.0,45.0,100.0,278.0
47600,32.0,34.0,41.0,105.0,288.0
47700,40.0,36.0,34.0,105.0,285.0
47800,35.0,36.0,36.0,106.0,287.0
47900,32.0,42.0,34.0,102.0,290.0
48000,27.0,37.0,46.0,104.0,286.0
48100,30.0,40.0,36.0,97.0,297.0
48200,33.0,37.0,45.0,99.0,286.0
48300,38.0,38.0,35.0,101.0,288.0
48400,35.0,41.0,36.0,97.0,291.0
48500,29.0,34.0,44.0,100.0,293.0
48600,34.0,34.0,44.0,106.0,282.0
48700,37.0,31.0,39.0,106.0,287.0
48800,39.0,29.0,39.0,116.0,277.0
48900,31.0,29.0,43.0,117.0,280.0
49000,41.0,36.0,36.0,106.0,281.0
49100,30.0,38.0,35.0,117.0,280.0
49200,39.0,38.0,41.0,99.0,283.0
49300,32.0,37.0,35.0,102.0,294.0
49400,37.0,36.0,39.0,95.0,293.0
49500,39.0,34.0,39.0,101.0,287.0
49600,31.0,34.0,34.0,102.0,299.0
49700,34.0,37.0,41.0,99.0,289.0
49800,32.0,33.0,39.0,102.0,294.0
49900,37.0,30.0,46.0,101.0,286.0
50000,34.0,38.0,41.0,95.0,292.0
50100,34.0,34.0,42.0,100.0,290.0
50200,36.0,34.0,49.0,100.0,281.0
50300,40.0,36.0,47.0,97.0,280.0
50400,34.0,40.0,43.0,92.0,291.0
50500,34.0,37.0,41.0,101.0,287.0
50600,32.0,39.0,41.0,102.0,286.0
50700,31.0,43.0,47.0,95.0,284.0
50800,43.0,39.0,47.0,99.0,272.0
50900,39.0,33.0,49.0,101.0,278.0
51000,41.0,43.0,46.0,99.0,271.0
51100,38.0,48.0,44.0,103.0,267.0
51200,41.0,41.0,40.0,98.0,280.0
51300,41.0,47.0,51.0,93.0,268.0
51400,53.0,40.0,52.0,99.0,256.0
51500,44.0,42.0,42.0,102.0,270.0
51600,40.0,38.0,47.0,93.0,282.0
51700,39.0,45.0,39.0,106.0,271.0
51800,37.0,46.0,48.0,96.0,273.0
51900,44.0,41.0,47.0,99.0,269.0
52000,40.0,36.0,44.0,103.0,277.0
52100,41.0,46.0,36.0,103.0,274.0
52200,46.0,38.0,37.0,107.0,272.0
52300,41.0,41.0,40.0,105.0,273.0
52400,43.0,38.0,40.0,104.0,275.0
52500,48.0,35.0,49.0,99.0,269.0
52600,45.0,39.0,50.0,93.0,273.0
52700,51.0,45.0,42.0,98.0,264.0
52800,41.0,48.0,43.0,97.0,271.0
52900,47.0,46.0,37.0,103.0,267.0
53000,46.0,47.0,38.0,100.0,269.0
53100,43.0,43.0,46.0,107.0,261.0
53200,47.0,47.0,42.0,105.0,259.0
53300,43.0,45.0,43.0,100.0,269.0
53400,40.0,36.0,44.0,108.0,272.0
53500,46.0,39.0,45.0,101.0,269.0
53600,41.0,44.0,40.0,103.0,272.0
53700,38.0,42.0,48.0,107.0,265.0
53800,40.0,38.0,49.0,105.0,268.0
53900,35.0,43.0,40.0,109.0,273.0
54000,39.0,38.0,52.0,105.0,266.0
54100,41.0,40.0,49.0,97.0,273.0
54200,38.0,45.0,51.0,105.0,261.0
54300,46.0,41.0,46.0,98.0,269.0
54400,31.0,43.0,46.0,97.0,283.0
54500,46.0,44.0,46.0,94.0,270.0
54600,36.0,47.0,47.0,98.0,272.0
54700,36.0,43.0,55.0,92.0,274.0
54800,36.0,42.0,45.0,97.0,280.0
54900,44.0,43.0,44.0,92.0,277.0
55000,43.0,42.0,49.0,96.0,270.0
55100,40.0,51.0,49.0,96.0,264.0
55200,39.0,49.0,53.0,90.0,269.0
55300,35.0,44.0,58.0,92.0,271.0
55400,39.0,41.0,55.0,93.0,272.0
55500,42.0,45.0,52.0,92.0,269.0
55600,41.0,39.0,54.0,91.0,275.0
55700,37.0,39.0,60.0,96.0,268.0
55800,41.0,40.0,57.0,89.0,273.0
55900,38.0,43.0,65.0,90.0,264.0
56000,34.0,37.0,61.0,86.0,282.0
56100,38.0,37.0,65.0,87.0,273.0
56200,37.0,37.0,58.0,85.0,283.0
56300,38.0,39.0,55.0,82.0,286.0
56400,45.0,37.0,63.0,77.0,278.0
56500,47.0,31.0,57.0,85.0,280.0
56600,47.0,29.0,56.0,85.0,283.0
56700,53.0,38.0,54.0,73.0,282.0
56800,54.0,30.0,50.0,83.0,283.0
56900,46.0,31.0,53.0,82.0,288.0
57000,53.0,34.0,44.0,89.0,280.0
57100,51.0,39.0,46.0,83.0,281.0
57200,43.0,29.0,49.0,93.0,286.0
57300,62.0,24.0,45.0,90.0,279.0
57400,60.0,31.0,35.0,89.0,285.0
57500,59.0,36.0,36.0,84.0,285.0
57600,61.0,34.0,44.0,91.0,270.0
57700,54.0,27.0,40.0,95.0,284.0
57800,64.0,37.0,36.0,86.0,277.0
57900,66.0,39.0,32.0,89.0,274.0
58000,60.0,35.0,29.0,89.0,287.0
58100,61.0,33.0,30.0,92.0,284.0
58200,65.0,35.0,27.0,87.0,286.0
58300,59.0,41.0,28.0,92.0,280.0
58400,67.0,45.0,31.0,85.0,272.0
58500,52.0,40.0,28.0,89.0,291.0
58600,60.0,40.0,33.0,84.0,283.0
58700,56.0,50.0,29.0,92.0,273.0
58800,59.0,53.0,29.0,90.0,269.0
58900,46.0,37.0,29.0,93.0,295.0
59000,45.0,49.0,26.0,100.0,280.0
59100,48.0,47.0,26.0,102.0,277.0
59200,40.0,51.0,24.0,106.0,279.0
59300,42.0,51.0,30.0,100.0,277.0
59400,37.0,50.0,35.0,101.0,277.0
59500,41.0,54.0,29.0,102.0,274.0
59600,36.0,61.0,25.0,109.0,269.0
59700,33.0,55.0,34.0,100.0,278.0
59800,29.0,50.0,36.0,108.0,277.0
59900,26.0,49.0,31.0,109.0,285.0
60000,34.0,56.0,33.0,98.0,279.0
60100,38.0,46.0,37.0,96.0,283.0
60200,38.0,44.0,38.0,105.0,275.0
60300,35.0,45.0,39.0,100.0,281.0
